Date : 2023-04-17 11:36:38
Directory : /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb
Total : 85 files,  1860 codes, 50 comments, 376 blanks, all 2286 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         85 |      1,860 |         50 |        376 |      2,286 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/gen/DuckDBTableGenerator.java                          | Java     |        -82 |          0 |         -8 |        -90 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/gen/DuckDBUpdateGenerator.java                         | Java     |        -44 |          0 |        -10 |        -54 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/gen/DuckDBViewGenerator.java                           | Java     |        -31 |          0 |         -6 |        -37 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/test/DuckDBNoRECOracle.java                            | Java     |       -119 |         -9 |        -10 |       -138 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/test/DuckDBQueryPartitioningAggregateTester.java       | Java     |       -174 |          0 |        -16 |       -190 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/test/DuckDBQueryPartitioningBase.java                  | Java     |        -77 |          0 |        -13 |        -90 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/test/DuckDBQueryPartitioningDistinctTester.java        | Java     |        -37 |          0 |         -8 |        -45 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/test/DuckDBQueryPartitioningGroupByTester.java         | Java     |        -44 |          0 |        -10 |        -54 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/test/DuckDBQueryPartitioningHavingTester.java          | Java     |        -54 |          0 |        -10 |        -64 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/test/DuckDBQueryPartitioningWhereTester.java           | Java     |        -37 |          0 |         -9 |        -46 |
| Total                                                                                                                      |          |      1,860 |         50 |        376 |      2,286 |
+----------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
